"Account Code","Account Name (EN)","Account Name (AR)","Account Type","Parent Account","Parent Name",Level,"Posting / Non-Posting","Active / Inactive","Normal Balance","FS Line","Reporting Group","Cash / Bank","Control Account (subledger)","Counterparty Required","Advance Holder Required"
115042,Lighting,الإنارة,Asset,115000,"Concession Assets under Construction",2,Posting,Active,Dr,SFP-A-040,"Concession Assets under Construction",,,,
115043,"Water & Sewerage","الماء والصرف الصحي",Asset,115000,"Concession Assets under Construction",2,Posting,Active,Dr,SFP-A-040,"Concession Assets under Construction",,,,
115050,"Fiber & Networks","الألياف والشبكات",Asset,115000,"Concession Assets under Construction",2,Posting,Active,Dr,SFP-A-040,"Concession Assets under Construction",,,,
115051,"Electronic Systems","الأنظمة الإلكترونية",Asset,115000,"Concession Assets under Construction",2,Posting,Active,Dr,SFP-A-040,"Concession Assets under Construction",,,,
115052,"CCTV & Security Systems","أنظمة المراقبة والأمن",Asset,115000,"Concession Assets under Construction",2,Posting,Active,Dr,SFP-A-040,"Concession Assets under Construction",,,,
115053,"Gates & Access Control","البوابات والتحكم بالدخول",Asset,115000,"Concession Assets under Construction",2,Posting,Active,Dr,SFP-A-040,"Concession Assets under Construction",,,,
115060,"Machinery & Integrated Equipment","المكائن والمعدات المتكاملة",Asset,115000,"Concession Assets under Construction",2,Posting,Active,Dr,SFP-A-040,"Concession Assets under Construction",,,,
115070,"Engineering Design","التصميم الهندسي",Asset,115000,"Concession Assets under Construction",2,Posting,Active,Dr,SFP-A-040,"Concession Assets under Construction",,,,
115071,"Consulting Services","الخدمات الاستشارية",Asset,115000,"Concession Assets under Construction",2,Posting,Active,Dr,SFP-A-040,"Concession Assets under Construction",,,,
115072,"Engineering Supervision","الإشراف الهندسي",Asset,115000,"Concession Assets under Construction",2,Posting,Active,Dr,SFP-A-040,"Concession Assets under Construction",,,,
115080,"Government Approvals","الموافقات الحكومية",Asset,115000,"Concession Assets under Construction",2,Posting,Active,Dr,SFP-A-040,"Concession Assets under Construction",,,,
